Order ID,Order Date,Region,Customer Name,Product Category,Sub-category,Sales,Quantity,Discount,Profit,Year,Month
ORD-1106,2024-01-09,West,Caleb Love,Furniture,Chairs,1410.08,9,0.2,69.2,2024,2024-01
ORD-1107,2023-09-20,West,Joshua Griffith,Office Supplies,Labels,1981.91,8,0.3,112.26,2023,2023-09
ORD-1108,2024-11-20,West,Shane Stevens,Furniture,Bookcases,1420.63,5,0.3,280.81,2024,2024-11
ORD-1109,2025-05-25,Central,Nicole Smith,Furniture,Bookcases,1731.95,10,0.1,297.96,2025,2025-05
ORD-1110,2022-08-14,Central,Lori Khan,Furniture,Bookcases,1820.17,7,0.2,286.46,2022,2022-08
ORD-1111,2023-05-11,West,Shawn Patel,Furniture,Chairs,1068.8,5,0.0,272.1,2023,2023-05
ORD-1112,2024-03-16,South,Patrick Cruz,Furniture,Bookcases,313.39,4,0.3,24.88,2024,2024-03
ORD-1113,2023-02-07,East,Devin Wells,Technology,Copiers,598.3,5,0.3,104.54,2023,2023-02
ORD-1114,2022-12-24,West,Richard Lam,Office Supplies,Labels,52.26,6,0.3,2.19,2022,2022-12
ORD-1115,2023-05-15,East,Lisa Anderson,Office Supplies,Paper,1224.44,10,0.1,103.25,2023,2023-05
ORD-1116,2024-12-17,Central,Lori Baker,Technology,Machines,1045.25,7,0.2,88.23,2024,2024-12
ORD-1117,2024-08-24,Central,Timothy Dawson,Office Supplies,Binders,1076.81,6,0.1,229.22,2024,2024-08
ORD-1118,2022-08-02,South,Brenda Mack,Furniture,Bookcases,1320.16,6,0.2,114.88,2022,2022-08
ORD-1119,2022-11-30,West,Timothy Duran,Furniture,Chairs,1098.79,4,0.0,191.48,2022,2022-11
ORD-1120,2024-02-08,West,Donald Smith,Technology,Copiers,207.34,9,0.1,19.11,2024,2024-02
ORD-1121,2024-10-03,East,Brian Hernandez,Furniture,Bookcases,960.61,10,0.1,251.81,2024,2024-10
ORD-1122,2023-09-01,Central,Autumn Collins,Furniture,Bookcases,978.63,7,0.0,264.08,2023,2023-09
ORD-1123,2022-09-28,West,Marcus Ingram,Furniture,Chairs,1569.88,1,0.0,300.55,2022,2022-09
ORD-1124,2023-12-08,Central,Jessica Stewart,Office Supplies,Binders,1296.12,8,0.2,297.91,2023,2023-12
ORD-1125,2025-04-09,Central,Caitlyn Villegas,Technology,Machines,1399.4,4,0.0,347.42,2025,2025-04
ORD-1126,2024-01-08,West,Katherine Buchanan,Technology,Phones,1251.7,2,0.3,99.22,2024,2024-01
ORD-1127,2023-09-22,South,Tara Brown,Technology,Phones,1108.78,2,0.2,189.68,2023,2023-09
ORD-1128,2022-08-03,East,Sharon Smith,Furniture,Bookcases,1366.66,8,0.1,117.8,2022,2022-08
ORD-1129,2025-01-23,West,James Mclaughlin,Technology,Accessories,1892.11,6,0.0,96.0,2025,2025-01
ORD-1130,2024-06-29,East,Judith Smith,Technology,Machines,1488.33,6,0.2,87.94,2024,2024-06
ORD-1131,2023-11-27,West,Kimberly Ferguson,Office Supplies,Storage,594.1,1,0.3,86.94,2023,2023-11
ORD-1132,2024-08-15,West,Kevin Hood,Technology,Copiers,83.64,7,0.1,11.48,2024,2024-08
ORD-1133,2023-11-07,East,Chad Cardenas,Office Supplies,Storage,1273.21,1,0.0,180.68,2023,2023-11
ORD-1134,2022-09-18,East,Michael King,Technology,Machines,166.11,3,0.0,43.24,2022,2022-09
ORD-1135,2023-01-06,East,Carolyn Rivera,Technology,Phones,1277.58,3,0.1,99.4,2023,2023-01
ORD-1136,2023-06-11,Central,Cathy Burton,Technology,Machines,1147.91,9,0.3,226.35,2023,2023-06
ORD-1137,2024-03-04,West,Matthew Newton,Technology,Machines,848.2,3,0.3,61.87,2024,2024-03
ORD-1138,2024-01-26,South,Carl Campbell,Office Supplies,Binders,422.5,2,0.0,82.3,2024,2024-01
ORD-1139,2024-03-02,Central,Jesus King,Furniture,Chairs,275.36,10,0.0,17.03,2024,2024-03
ORD-1140,2023-02-27,Central,Chris Sullivan,Office Supplies,Binders,1567.79,3,0.2,263.37,2023,2023-02
ORD-1141,2025-02-20,West,Linda Gentry,Office Supplies,Binders,715.33,1,0.3,130.16,2025,2025-02
ORD-1142,2024-10-06,South,Tina Johnson,Technology,Phones,520.31,2,0.3,42.71,2024,2024-10
ORD-1143,2023-04-01,South,Paul Bruce MD,Technology,Copiers,1663.42,6,0.1,362.5,2023,2023-04
ORD-1144,2023-12-14,Central,Anita Hughes,Office Supplies,Paper,1064.52,8,0.0,189.26,2023,2023-12
ORD-1145,2024-04-27,East,Patricia Jackson,Furniture,Chairs,185.77,4,0.1,11.74,2024,2024-04
ORD-1146,2025-06-15,East,Mary Perez,Technology,Machines,303.81,6,0.0,68.94,2025,2025-06
ORD-1147,2023-03-28,Central,Christina Washington,Technology,Copiers,540.16,3,0.0,89.22,2023,2023-03
ORD-1148,2023-06-27,Central,Jill Brooks,Office Supplies,Binders,674.07,10,0.2,76.14,2023,2023-06
ORD-1149,2025-05-06,West,Joseph Butler,Office Supplies,Labels,1207.17,6,0.2,65.24,2025,2025-05
ORD-1150,2025-01-02,West,Erica Melendez,Technology,Copiers,1248.04,2,0.2,129.01,2025,2025-01
ORD-1151,2023-05-30,East,Rebecca Crawford,Furniture,Tables,1501.16,3,0.1,216.22,2023,2023-05
ORD-1152,2024-12-02,Central,Jim Wood,Furniture,Chairs,1048.78,2,0.3,90.49,2024,2024-12
ORD-1153,2024-02-08,South,Brian Williams,Furniture,Tables,1549.99,9,0.3,63.01,2024,2024-02
ORD-1154,2024-12-26,South,Raymond Park,Furniture,Bookcases,937.38,3,0.0,62.02,2024,2024-12
ORD-1155,2024-08-21,West,Brian Barron,Furniture,Tables,458.54,9,0.2,105.99,2024,2024-08
ORD-1156,2023-09-08,West,Dr. Thomas Robinson,Office Supplies,Binders,1955.16,2,0.0,513.56,2023,2023-09
ORD-1157,2023-05-17,South,Alex Owen,Office Supplies,Storage,1161.35,2,0.0,188.42,2023,2023-05
ORD-1158,2023-07-04,South,Travis Ellis,Furniture,Tables,661.12,10,0.3,121.55,2023,2023-07
ORD-1159,2024-12-15,South,Rhonda Wright,Furniture,Bookcases,1269.53,8,0.3,115.64,2024,2024-12
ORD-1160,2024-10-02,South,Nathan Hill,Office Supplies,Storage,1261.35,3,0.3,223.36,2024,2024-10
ORD-1161,2024-08-11,West,David Cain,Office Supplies,Storage,918.63,3,0.2,86.33,2024,2024-08
ORD-1162,2025-04-30,South,Melissa Jackson,Office Supplies,Storage,1475.39,9,0.1,72.49,2025,2025-04
ORD-1163,2024-02-20,East,Shane Lewis,Technology,Machines,1963.12,5,0.2,400.52,2024,2024-02
ORD-1164,2024-12-14,West,Nicholas Rocha,Technology,Phones,158.19,7,0.0,35.37,2024,2024-12
ORD-1165,2022-12-16,South,Cody Thompson,Furniture,Bookcases,1539.48,3,0.1,214.13,2022,2022-12
ORD-1166,2022-08-23,South,Latoya Thomas,Technology,Copiers,1614.13,3,0.0,111.13,2022,2022-08
ORD-1167,2024-06-19,South,Sydney Bush,Furniture,Chairs,257.27,8,0.3,44.11,2024,2024-06
ORD-1168,2025-03-02,West,Kimberly Thomas,Office Supplies,Paper,1154.94,5,0.1,192.37,2025,2025-03
ORD-1169,2025-03-11,West,Robert Hall,Office Supplies,Storage,1023.27,8,0.2,91.94,2025,2025-03
ORD-1170,2024-01-11,Central,Frank Martin,Office Supplies,Labels,1696.1,10,0.2,384.04,2024,2024-01
ORD-1171,2022-08-02,Central,Valerie Brown,Furniture,Chairs,1511.22,8,0.1,187.18,2022,2022-08
ORD-1172,2024-10-17,South,Jacqueline Coleman,Furniture,Bookcases,1369.08,7,0.2,166.12,2024,2024-10
ORD-1173,2023-01-16,Central,Sheila Padilla,Office Supplies,Labels,1459.59,9,0.0,369.62,2023,2023-01
ORD-1174,2024-03-20,East,Jessica Peterson,Office Supplies,Paper,1886.32,3,0.0,264.09,2024,2024-03
ORD-1175,2022-06-24,South,Wendy Martinez,Office Supplies,Binders,1047.85,9,0.2,173.05,2022,2022-06
ORD-1176,2023-03-11,South,Mr. Ronnie Foster,Furniture,Tables,1689.98,3,0.1,174.32,2023,2023-03
ORD-1177,2023-03-29,South,George Taylor,Technology,Machines,141.38,5,0.1,27.08,2023,2023-03
ORD-1178,2022-11-25,Central,Kayla Lopez,Office Supplies,Paper,1784.25,7,0.3,228.02,2022,2022-11
ORD-1179,2022-11-23,East,Amber Fry,Technology,Copiers,1617.78,4,0.2,380.42,2022,2022-11
ORD-1180,2024-01-26,Central,Joseph Ball,Furniture,Tables,1421.44,9,0.3,161.27,2024,2024-01
ORD-1181,2022-11-23,West,James Wilson,Furniture,Tables,1757.28,8,0.3,224.64,2022,2022-11
ORD-1182,2023-03-07,South,Thomas Clark,Technology,Phones,1745.01,6,0.1,96.13,2023,2023-03
ORD-1183,2024-12-24,Central,Craig Chambers,Office Supplies,Labels,920.75,10,0.0,250.78,2024,2024-12
ORD-1184,2025-03-03,East,Michael Velazquez,Furniture,Chairs,1005.14,1,0.0,86.58,2025,2025-03
ORD-1185,2023-08-01,Central,John King,Office Supplies,Labels,378.38,8,0.3,38.21,2023,2023-08
ORD-1186,2024-09-22,South,Jacob Johnson,Furniture,Tables,787.36,10,0.2,186.91,2024,2024-09
ORD-1187,2023-10-10,East,Antonio Simmons,Office Supplies,Binders,1647.0,7,0.2,307.37,2023,2023-10
ORD-1188,2023-05-21,Central,Blake Walters,Furniture,Tables,1782.31,2,0.0,211.96,2023,2023-05
ORD-1189,2022-08-26,East,Priscilla Ortiz,Furniture,Tables,89.2,5,0.0,4.91,2022,2022-08
ORD-1190,2024-02-07,South,Lindsey Johnson,Office Supplies,Storage,328.57,3,0.2,45.28,2024,2024-02
ORD-1191,2024-03-21,East,Kimberly Smith,Furniture,Bookcases,1320.24,10,0.1,156.23,2024,2024-03
ORD-1192,2024-11-11,South,William Johnson,Office Supplies,Labels,886.64,3,0.3,49.5,2024,2024-11
ORD-1193,2025-02-16,South,Alexis Thomas,Furniture,Bookcases,481.16,3,0.2,53.17,2025,2025-02
ORD-1194,2025-01-30,East,Melissa Cortez,Office Supplies,Paper,1286.67,7,0.1,257.31,2025,2025-01
ORD-1195,2024-12-20,Central,Cameron Flores,Furniture,Tables,1827.25,4,0.1,414.34,2024,2024-12
ORD-1196,2025-04-18,Central,Jonathan Booth,Furniture,Bookcases,180.27,8,0.1,48.19,2025,2025-04
ORD-1197,2024-03-03,West,Diana Miller,Furniture,Bookcases,1253.63,4,0.0,224.04,2024,2024-03
ORD-1198,2023-11-16,Central,Stacey Jackson,Furniture,Tables,1527.1,7,0.2,253.25,2023,2023-11
ORD-1199,2023-11-23,South,Pamela Jackson,Technology,Accessories,872.5,8,0.3,159.96,2023,2023-11
ORD-1200,2024-09-06,West,Nathaniel Strickland,Technology,Copiers,1238.57,4,0.3,219.59,2024,2024-09
ORD-1201,2022-08-04,South,Timothy Bell,Office Supplies,Binders,596.47,10,0.1,86.04,2022,2022-08
ORD-1202,2024-10-14,West,Olivia Grant,Technology,Machines,831.4,1,0.2,95.75,2024,2024-10
ORD-1203,2023-02-10,South,Betty Clark,Technology,Machines,1366.67,6,0.3,68.65,2023,2023-02
ORD-1204,2024-03-28,South,Morgan King,Technology,Copiers,392.41,4,0.1,31.97,2024,2024-03
ORD-1205,2025-05-31,Central,Marcus Escobar,Technology,Phones,954.01,6,0.2,169.78,2025,2025-05
ORD-1206,2024-09-25,South,Mr. Matthew Garcia DDS,Technology,Copiers,1485.47,7,0.0,426.48,2024,2024-09
ORD-1207,2025-02-15,South,Angela Keller,Technology,Phones,1456.91,8,0.0,175.48,2025,2025-02
ORD-1208,2023-09-13,Central,Wendy Harris,Technology,Copiers,1729.22,9,0.0,145.59,2023,2023-09
ORD-1209,2024-09-16,South,Crystal Thomas,Office Supplies,Labels,1820.61,6,0.0,250.68,2024,2024-09
ORD-1210,2024-05-13,Central,Gary Galloway,Furniture,Tables,748.79,1,0.3,135.13,2024,2024-05
ORD-1211,2023-12-19,Central,Alicia Wood,Technology,Accessories,1379.14,10,0.3,113.11,2023,2023-12
ORD-1212,2022-11-29,East,Katherine Young,Furniture,Tables,1094.06,6,0.0,271.07,2022,2022-11
ORD-1213,2022-10-12,South,Jessica Summers,Furniture,Bookcases,838.22,3,0.2,120.46,2022,2022-10
ORD-1214,2022-11-26,West,Jessica Garcia,Technology,Machines,161.59,1,0.2,21.08,2022,2022-11
ORD-1215,2023-09-19,South,David Schroeder,Office Supplies,Labels,356.09,9,0.0,54.39,2023,2023-09
ORD-1216,2023-02-04,East,John Smith,Furniture,Chairs,1353.49,3,0.2,229.37,2023,2023-02
ORD-1217,2024-10-19,South,Anne Williams,Furniture,Chairs,1523.38,10,0.3,292.84,2024,2024-10
ORD-1218,2024-06-02,West,Brent Espinoza,Furniture,Tables,1169.52,8,0.1,284.47,2024,2024-06
ORD-1219,2023-10-24,Central,Christina Bell,Furniture,Bookcases,1363.68,1,0.0,133.98,2023,2023-10
ORD-1220,2025-06-09,Central,Isabel Buchanan,Technology,Phones,1189.88,1,0.2,155.32,2025,2025-06
ORD-1221,2024-10-14,West,Paul Villa,Technology,Phones,1633.11,4,0.0,287.3,2024,2024-10
ORD-1222,2023-03-31,East,Patricia Smith,Technology,Accessories,856.0,1,0.0,93.6,2023,2023-03
ORD-1223,2025-05-06,West,Angela Daniel,Technology,Machines,1081.95,3,0.1,270.73,2025,2025-05
ORD-1224,2023-02-20,Central,Sharon Cole,Technology,Accessories,1815.82,10,0.3,114.39,2023,2023-02
ORD-1225,2023-07-04,West,Jasmine Spencer,Furniture,Chairs,1122.84,7,0.0,123.13,2023,2023-07
ORD-1226,2025-04-20,West,Lawrence Santos,Technology,Copiers,305.84,1,0.1,64.69,2025,2025-04
ORD-1227,2023-10-23,Central,Nicole Mays,Office Supplies,Labels,330.69,4,0.2,75.07,2023,2023-10
ORD-1228,2023-12-18,Central,Jeffrey Scott,Technology,Accessories,1604.74,9,0.2,287.85,2023,2023-12
ORD-1229,2024-01-11,West,Jackie Barker DDS,Furniture,Tables,842.26,6,0.2,151.08,2024,2024-01
ORD-1230,2023-05-29,South,Laura Roberts,Office Supplies,Binders,1836.47,10,0.0,284.37,2023,2023-05
ORD-1231,2023-05-01,West,Ronald Brooks,Furniture,Tables,1976.75,3,0.1,472.92,2023,2023-05
ORD-1232,2023-09-17,South,Daniel Williams,Technology,Accessories,1897.64,5,0.0,134.0,2023,2023-09
ORD-1233,2023-04-10,South,Rebecca Sanchez,Furniture,Bookcases,69.17,6,0.2,13.36,2023,2023-04
ORD-1234,2022-12-11,Central,Michael Jones,Office Supplies,Binders,132.83,4,0.0,14.42,2022,2022-12
ORD-1235,2022-12-18,East,Frances Reese,Office Supplies,Storage,1982.38,8,0.3,198.05,2022,2022-12
ORD-1236,2022-11-23,South,Shawn Mcbride,Furniture,Bookcases,1493.75,4,0.0,350.33,2022,2022-11
ORD-1237,2023-03-27,South,Benjamin Kennedy,Technology,Machines,868.36,8,0.2,172.61,2023,2023-03
ORD-1238,2025-01-14,Central,Daniel Horne,Technology,Machines,774.93,8,0.3,72.49,2025,2025-01
ORD-1239,2022-10-19,South,Calvin Thomas,Office Supplies,Binders,546.89,1,0.2,36.66,2022,2022-10
ORD-1240,2024-09-11,Central,Shannon Cook,Office Supplies,Paper,453.89,10,0.2,70.43,2024,2024-09
ORD-1241,2023-07-15,West,Craig Crawford MD,Office Supplies,Labels,1740.57,6,0.1,299.88,2023,2023-07
ORD-1242,2022-06-29,West,Tyler Lewis,Technology,Copiers,170.8,5,0.0,47.29,2022,2022-06
